Name;Kanji;Population;Density(/km2);Area(km2);Major districts;Latitude;Longitude
1;Chiyoda;????;59441;5100;Nagatach?, Kasumigaseki, ?temachi, Marunouchi,...;35.69402;139.75363
2;Ch??;???;147620;14460;Nihonbashi, Kayabach?, Ginza, Tsukiji, Hatch?b...;35.66993;139.77705
3;Minato;??;248071;12180;Odaiba, Shinbashi, Hamamatsuch?, Mita, Roppong...;35.65 ;139.73333
4;Shinjuku;???;339211;18620;Shinjuku, Takadanobaba, ?kubo, Kagurazaka, Ich...;35.693840;139.703549
5;Bunky?;???;223389;19790;Hong?, Yayoi, Hakusan;35.71745 ;139.74729
6;Tait?;???;200486;19830;Ueno, Asakusa;35.71261 ;139.78
7;Sumida;???;260358;18910;Kinshich?, Morishita, Ry?goku;35.71072 ;139.8015
8;K?t?;???;502579;12510;Kiba, Ariake, Kameido, T?y?ch?, Monzennakach?,...;35.66667 ;139.81667
9;Shinagawa;???;392492;17180;Shinagawa, Gotanda, ?saki, Hatanodai, ?imachi,...;35.60902 ;139.73017
10;Meguro;???;280283;19110;Meguro, Nakameguro, Jiyugaoka, Komaba, Aobadai;35.64146 ;139.69817
11;?ta;???;722608;11910;?mori, Kamata, Haneda, Den-en-ch?fu;35.672855;139.817413
12;Setagaya;????;910868;15690;Setagaya, Shimokitazawa, Kinuta, Karasuyama, T...;35.646572;139.653244
13;Shibuya;???;227850;15080;Shibuya, Ebisu, Harajuku, Daikanyama, Hiroo, S...;35.664035;139.698212
14;Nakano;???;332902;21350;Nakano;35.71091 ;139.66248
15;Suginami;???;570483;16750;K?enji, Asagaya, Ogikubo;35.69951 ;139.63641
16;Toshima;???;294673;22650;Ikebukuro, Komagome, Senkawa, Sugamo;35.73246 ;139.7154
17;Kita;??;345063;16740;Akabane, ?ji, Tabata;35.75264 ;139.73348
18;Arakawa;???;213648;21030;Arakawa, Machiya, Nippori, Minamisenju;35.73993 ;139.7813
19;Itabashi;???;569225;17670;Itabashi, Takashimadaira;35.75118 ;139.70927
20;Nerima;???;726748;15120;Nerima, ?izumi, Hikarigaoka;35.73551 ;139.65168
21;Adachi;???;674067;12660;Ayase, Kitasenju, Takenotsuka;35.7788 ;139.79509
22;Katsushika;???;447140;12850;Tateishi, Aoto, Kameari, Shibamata;35.75324 ;139.85567
23;Edogawa;????;685899;13750;Kasai, Koiwa;35.69242 ;139.87567
